tyve|twenty (20)
ifølge|according to|Ifølge nyhedsbureauet Reuters ...
frygte|to fear|Ifølge nyhedsbureauet Reuters frygter sundhedseksperter dog, at de reelle dødstal er langt højere.
hjælp|help|Hjælpen er på vej.
alvorlig|serious|Situationen i Indien er i de seneste uger blevet så alvorlig, ...
vis X|certain, some X|at hospitaler i visse byer har måttet sende patienter væk i døren||2
måtte|to have to|at hospitaler i visse byer har måttet sende patienter væk i døren||2
væk|away, off, gone|at hospitaler i visse byer har måttet sende patienter væk i døren
modtage|to receive|Du har modtaget ny digital post.
venlig|kind, friendly, cheerful|Den venlige, gamle mand fortalte dem vejen.
hilsen|greeting, regards, salute|Vi skal huske at sende familien vores hilsner.
enhed|device, unit|Husk at din billet skal vises på den enhed, hvor den er købt.
rejse|trip, travel|Du skal bruge mundbind eller visir på alle rejser med kollektiv transport.
krav|requirement, demand|Han lyttede tålmodigt til deres krav.
dårlig|bad|Eleven havde en dårlig attitude i klassen.
enten|either, whether|Det løber med os, enten vi vil eller ej.
ø|island|||3
føle|to feel|Jeg føler, at du ikke respekterer mig.
dræbe|to kill|Jægeren dræbte en hjort og flåede den.
sundhed|health
lede|to look for|||3
ting|thing, stuff
bare|just, only|Bare efterlad den på bordet||2
ringe|to call (over the phone)|Hvorfor kan man ikke bare ringe til sine nøgler, når de igen er blevet væk?
man|you<br>bruges for at henvise til en ubestemt person som repræsentant for en gruppe eller for folk i almindelighed|Man bør aldrig hæve stemmen, sagde hun
kende|to know|||3
forsvinde|to disappear|Den følelse kender mange nok, når cykelnøglen er forsvundet ned i dybet mellem sofahynderne eller ligger i bunden af en taske, man ikke har brugt i 100 år.
snart|soon|Men det kan snart være fortid.
fortid|past|Men det kan snart være fortid.
lancere|to launch|I sidste uge lancerede techgiganten Apple en lille metalbrik ved navn Airtag.
selvom / selv om|even though, even if, though|Selvom man ikke fysisk kan ringe op til sine nøgler med den nye teknologi, ...
lang|long|er det ikke langt fra
trådløse|wireless|Det er den trådløse teknologi
magi|magic|... , som får magien til at ske med Airtags
at ske|to happen|... , som får magien til at ske med Airtags||2
anholde|to arrest|25-årig blev anholdt i storstilet terroraktion
højre|right (side)|Han havde en skramme på sin højre skulder
venstre|left (side)|Den venstre hund ser ret bidsk ud
uden|without
siden|since, for ... siden - ago|Han kørte lige før du tog af sted, og ingen har set ham siden
trodse|to defy, to spite, бросить вызов|Du skal ikke trodse din far
frygt|fear|Han levede i konstant frygt
inden|before, by the time|Han gik inden han gjorde sig selv til grin||2
slet ikke|absolutely not, far from it
slet|wicked, ill, poor, bad|Hendes eksamensresultater var slette
genåbning|reopening|Tre dage før genåbning kender spillesteder stadig ikke retningslinjerne
før|before, prior to|Han ankom før sin søster
spillested|venue, music venue|Tre dage før genåbning kender spillesteder stadig ikke retningslinjerne
retningslinje|guideline, instruction|Tre dage før genåbning kender spillesteder stadig ikke retningslinjerne
dyrke|to grow, to cultivate, to till, to farm|Hun har dyrket grøntsager i et stykke tid nu
dyrke motion|to exercise|Du dyrker motion uden at opdage det
opdage|to discover, to detect, to uncover, to spot, find out|De opdagede kræft i hendes venstre bryst
kræft|cancer|De opdagede kræft i hendes venstre bryst
skjule|to hide, to conceal|Fire skjulte måder at få mere bevægelse i hverdagen
måde|way, manner, method|Fire skjulte måder at få mere bevægelse i hverdagen
mere|more|Fire skjulte måder at få mere bevægelse i hverdagen
bevægelse|movement, motion, move, travel|Hun betragter opmærksomt hans mindste bevægelse
sætte|to put, to place, to set|Sæt dig realistiske mål og gør dem synlige for dig selv, lyder nogle af rådene.
mål|goal, object, target, mark|Hendes mål er at overtage firmaet
synlig|visible, apparent, prominent|Sæt dig realistiske mål og gør dem synlige for dig selv, lyder nogle af rådene.
lyde|to sound, to follow, to obey|Sæt dig realistiske mål og gør dem synlige for dig selv, lyder nogle af rådene.||2
råd|advice, council, committee|Han gav mig et brugbart råd.
vil du med?|Do you want to come?
travl|busy, to be busy|Har du travlt?
jubi|hooray, hurray, whoopee
medlem|member|Klubben sendte brev ud til alle medlemmer.
vores|our|Velkommen til vores store, nye koncertsal.
hensyn|consideration, af hensyn til - for the sake of, med hensyn til - with regard to|De viste ikke hensyn til hendes følelser.
stolt|proud|Hun var for stolt til at bede om hjælp.
udenfor, uden for|outside, outside of|Han ventede uden for bygningen.
forstå|to understand, to realise|Hun forstår lærerens frustration.
lyd|sound, noise|Det lyder måske lidt forvirret, men udvikler sig	ret spændende i filmen...
dyk|dive, tumble, dip|Dyk ned i kendte romaner og personlige fortællinger.
ned|down|Dyk ned i kendte romaner og personlige fortællinger.
personlig|personal, individual. personalised|Dyk ned i kendte romaner og personlige fortællinger.
fortælling|story, tale, narrative|Dyk ned i kendte romaner og personlige fortællinger.
lidenskab|passion, ardour|Sex, lidenskab, erotik og kærlighed.
kærlighed|love, affection|Sex, lidenskab, erotik og kærlighed.
marchere|to march|Der kom en soldat marcherende hen ad landevejen: én, to! én, to!
landevej|highway, main road|Der kom en soldat marcherende hen ad landevejen: én, to! én, to!
have|to have, to possess, to own, to enjoy|Han havde sit tornyster på ryggen og en sabel ved siden, for han havde været i krigen, og nu skulle han hjem.||2
sin|his, her, its, one's|Han havde sit tornyster på ryggen og en sabel ved siden, for han havde været i krigen, og nu skulle han hjem.
ryg|back, спина|Hans ryg gør ondt om vinteren
for|for, to|Det var en skuffelse for ham at ende som nummer to
krig|war|De erklærede hinanden krig
skulle|must, be to, shell, will|Han havde sit tornyster på ryggen og en sabel ved siden, for han havde været i krigen, og nu skulle han hjem.
heks|witch|Så mødte han en gammel heks på landevejen; ...
ækel|disgusting, nasty|... hun var så ækel ...
læbe|lip|... hendes underlæbe hang hende lige ned på brystet.
hænge|to hang, to droop|... hendes underlæbe hang hende lige ned på brystet.
bryst|breast, chest, thorax|... hendes underlæbe hang hende lige ned på brystet.
stor|large, big, great, massive, major|Hvor du har en pæn sabel og et stort tornyster, du er en rigtig soldat!
pæn|good-looking, nice, neat, handsome, pretty|Hun ser pæn ud i det sæt tøj
rigtig|correct, right, real, genuine, true|Hvor du har en pæn sabel og et stort tornyster, du er en rigtig soldat!
penge|money, funds|Jeg har ikke nogen penge tilbage.
ville|want to, will, hvis du vil - if you like|Nu skal du få så mange penge, du vil eje!
eje|to own, to possess, to have|Det var hendes kæreste eje||2
pege|to point|Kan du se det store træ?" sagde heksen, og pegede på et træ.
ganske|fairly X, quite X, pretty X|Det er ganske hult inden i!
hul (adj)|hollow|Det er ganske hult inden i!||2
indeni, inden i|inside, within|Det er ganske hult inden i!
krybe|to inch, to crawl, медленно идти|Der skal du krybe op i toppen, ...
op|up|Der skal du krybe op i toppen, ...
top|top, apex, peak|Bandet ligger på toppen af hitlisterne for tredje uge i træk
hul (substansiv)|hole, leak, puncture|Hullet er næsten for stort til at lukke
dæk|tyre, ship deck, floor (etage)|Der var et lille hul i dækket
lade|let, allow, permit|Hendes forældre lod hende gå til festen||2
glide|glide, slide|Han ser ud til at glide over racerbanen
igennem|through|Kuglen gik ikke igennem vesten
dyb|deep, profound|..., som du kan lade dig glide igennem og komme dybt i træet!||2
binde|to tie, to bind|Jeg skal binde dig en strikke om livet, for at jeg kan hejse dig op igen, når du råber på mig!
liv|life, spirit, waist|life - Mit liv er skønt. waist - Hun er 83 cm om livet.
hejse|to raise, to hoist|Jeg skal binde dig en strikke om livet, for at jeg kan hejse dig op igen, når du råber på mig!
råbe|to shout, to scream, to yell, to cry|Jeg skal binde dig en strikke om livet, for at jeg kan hejse dig op igen, når du råber på mig!
spørge|to ask, to question, to inquire|"Hvad skal jeg så nede i træet?" spurgte soldaten.
vide|to know, to realise|Jeg ved, at jeg kan klare det.
skifte|to change, to shift, to switch|Han skiftede til noget mere passende.||2
nede|low, at a low level|Han pustede gennem næsen, fordi han trak vejret langt nede i maven.
bund|bottom, ground|Bunden af flasken var støvet.
gang|walk, passage, corridor, hallway|Han er kendt for sin skøre gang.
lys|bright, light, pale|Det lyse værelse opmuntrede børnene.||2
brænde|to burn, to cremate, to bake|Huset brænder.||2
lukke op|to open the door|Så ser du tre døre, du kan lukke dem op, nøglen sidder i.
kammer|chamber, cubicle, small room, compartment|Går du ind i det første kammer, ...
da|when, at the time when, by the time, as\nThe English word when translates into three words in Danish: Hvornår for asking a question and da og når for the rest. Da describes a scene in the past and når is used for future or repeted situations in present or past.|Da jeg gik i skole, havde jeg meget hjemmearbejde.
gulv|floor, flooring|Gulvet var lavet af marmor.
midt|in the middle, in the centre|Går du ind i det første kammer, da ser du midt på gulvet en stor kiste, ...
kiste|coffin, casket, chest|Går du ind i det første kammer, da ser du midt på gulvet en stor kiste, ...
ovenpå, oven på|on top of|Hun puttede hindbær oven på kagen.
par|couple (of something), pair, few|han har et par øjne
øje|eye, orb|Jeg har grønne øjne
som|as, like, such as|Alt gik præcist, som jeg havde planlagt det||2
bryde sig om|to worry about, to take in to account, to take care of|... han har et par øjne så store som et par tekopper, men det skal du ikke bryde dig om!
bryde|to break, to violate, to crack|Det lykkedes dem at bryde igennem barrieren.
forklæde|apron|Jeg giver dig mit blåternede forklæde, det kan du brede ud på gulvet; ...
brede|to spread, to scatter|Jeg giver dig mit blåternede forklæde, det kan du brede ud på gulvet; ...
rask|well (ikke syg), quick, brisk|gå så rask hen og tag hunden
sølv|silver|De er alle sammen af kobber, men vil du hellere have sølv, så skal du gå ind i det næste værelse, ...
værelse|room|Hun havde selv dekoreret værelset.
hjul|wheel|men der sidder en hund, der har et par øjne, så store, som et møllehjul
derimod|on the other hand, on the contrary|Drengene derimod skulle spille fodbold.
bære|to carry, to hold, to bear|De bar hundehvalpen i en stor kasse.
gal|mad, crazy, insane|Han bliver gal når han finder ud af det
nogen|some, any, a little|Han spurgte, om han kunne få noget sukker i sin te.
begrænsning|limitation, limit, restrictions|Vi har nu haft genåbnet saunaer og klubhus i godt en uge med visse begrænsninger og daglige stikprøvekontroller.
fornøjelse|pleasure, joy, fun|Det har været en succes og en fornøjelse.
smil|smile, grin|Tak til alle jer medlemmer, som med et smil fremviser Coronapasset ved forespørgsel.
fremvise|to present, to demonstrate, to show|Tak til alle jer medlemmer, som med et smil fremviser Coronapasset ved forespørgsel.
forespørgsel|enquiry, query|Tak til alle jer medlemmer, som med et smil fremviser Coronapasset ved forespørgsel.
bestyrelse|board of directors, board, executive committee|Bestyrelsen har besluttet at udvide åbningstiden i saunaerne og i klubhuset, reglerne er som følger: ...
beslutte|to decide, to resolve|Bestyrelsen har besluttet at udvide åbningstiden i saunaerne og i klubhuset, reglerne er som følger: ...
udvide|to extend, to expand, to enlarge|Bestyrelsen har besluttet at udvide åbningstiden i saunaerne og i klubhuset, reglerne er som følger: ...
regel|rule, regulation|Bestyrelsen har besluttet at udvide åbningstiden i saunaerne og i klubhuset, reglerne er som følger: ...
følge (substansiv)|effect, consequence, result|Som en følge kunne han ikke gå længere.
følge (verbum)|to follow, to walk, to accompany|result||3
uændret|unchanged, unaltered|Vildlivet i dette område har forblivet uændret i årevis.
strand|beach, shore
fælles|common, joint, mutual|Forældrene har fælles forældremyndighed over barnet.
derudover|in addition, additionally, furthermore
ad gangen|at a time|max 26 personer ad gangen
svare|to answer, to reply, to respond|Jeg spurgte ham om det to gange, men han svarede ikke
svare til|correspond to|svarer til antal taburetter
antal|number, quantity|Antallet af patienter, der lider af lungecancer, er faldende.
hjørne|corner, nook|hjørnesauna ...
tårn|tower, turret
stille (adj)|quiet, silent, calm|Hun er en stille, lille pige||4
ufravigelig|invariable, unchangeable, indispensable, essential|Ufravigelig forudsætning for ophold i saunaer og klubhus er, at medlemmer SKAL kunne fremvise gyldigt Corona-pas - dvs. enten: ...
forudsætning|prerequisite, basis, condition|Ufravigelig forudsætning for ophold i saunaer og klubhus er, at medlemmer SKAL kunne fremvise gyldigt Corona-pas - dvs. enten: ...
ophold|stay, visit|Ufravigelig forudsætning for ophold i saunaer og klubhus er, at medlemmer SKAL kunne fremvise gyldigt Corona-pas - dvs. enten: ...
kunne|can, to be able to|Ufravigelig forudsætning for ophold i saunaer og klubhus er, at medlemmer SKAL kunne fremvise gyldigt Corona-pas - dvs. enten: ...
gyldig|valid, in force|Ufravigelig forudsætning for ophold i saunaer og klubhus er, at medlemmer SKAL kunne fremvise gyldigt Corona-pas - dvs. enten: ...
ansvar|responsibility, liability|Klubben står til ansvar for, at dette bliver overholdt, og det vil løbende blive kontrolleret - også i de sene timer.
sjov|fun, funny, peculiar|Det var en sjov bog, men filmen var ikke lige så heldig.
rimelig|reasonable, fair|Du er ved at have rimelig godt styr på det så?
have styr på|be in control of|Du er ved at have rimelig godt styr på det så?
styre|to rule, to manage, to pilot|bilen kan bogstaveligt talt styres med en lillefinger||2
bevise|to prove, to show, to demonstrate|bevise videnskabeligt
ordforråd|vocabulary|Jeg tror også ordforråd er en god vej :)
en masse X|plenty, lots|Og ja, at kunne en masse ord, så kommer forståelsen naturligt
forståelse|understanding, comprehension, insight|Og ja, at kunne en masse ord, så kommer forståelsen naturligt
forresten|by the way, incidentally|Forresten, Camilla er bodypump instruktør i FitnessX. Så jeg tænker at flytte dertil :)
instruktør|instructor|Forresten, Camilla er bodypump instruktør i FitnessX. Så jeg tænker at flytte dertil :)
flytte|to move, to relocate, to shift|Forresten, Camilla er bodypump instruktør i FitnessX. Så jeg tænker at flytte dertil :)
dertil|there, for that|Forresten, Camilla er bodypump instruktør i FitnessX. Så jeg tænker at flytte dertil :)
billig|cheap, inexpensive|Det er også noget billigere end fitnessworld.
i så fald|in that case, if so|I så fald  jeg annullerer min fitnessworld.
tidspunkt|time, point, moment, hour|Han spurgte hvilket tidspunkt de skulle komme på.
på et tidspunkt|at some point|Du skal også komme og se lejligheden på et tidspunkt.
lørdag|Saturday|Vi fik nøglerne i lørdags og flytter ind nu på lørdag :)
tæt|dense, thick|Parret gik igennem den tætte skov
tæt på|near, close|Teotihuacan er pyramiderne tæt på Mexico city.
helt|completely, totally, entirely|Han havde helt glemt, at det var mors dag.||3
helt sikkert|definitely, certainly|De er helt sikkert et besøg værd.|
værd|worth|De er helt sikkert et besøg værd.||2
fest|party, celebration|Festen bliver holdt på lørdag.
minde|memory, reminiscence|Ikke alle har lykkelige minder om barndommen
oprindelig|original, originally|Mexico city var oprindelig bygget på en sø og man sejlede rundt på både som i Venedig.
bygge|to build, to construct|Mexico city var oprindelig bygget på en sø og man sejlede rundt på både som i Venedig.
sø|lake, sea|Mexico city var oprindelig bygget på en sø og man sejlede rundt på både som i Venedig.
sejle|to sail|Mexico city var oprindelig bygget på en sø og man sejlede rundt på både som i Venedig.
rundt|round, around|Mexico city var oprindelig bygget på en sø og man sejlede rundt på både som i Venedig.
båd|boat, vessel|Mexico city var oprindelig bygget på en sø og man sejlede rundt på både som i Venedig.
sted|place, spot, location|De ledte efter et sted at campere
stadig|constant, permanent, persistent|Xochimilco er et sted hvor de stadig har bådene og man bliver sejlet rundt.
kigge|to look, to glance, to peek|Museo Nacional de Antropología er også et kig værd hvis man er til historie og de gamle folkefærd
historie|story, history|Museo Nacional de Antropología er også et kig værd hvis man er til historie og de gamle folkefærd
folkefærd|folklore, race|Museo Nacional de Antropología er også et kig værd hvis man er til historie og de gamle folkefærd
lejr|camp|Da jægerne kommer hjem til lejren er alle vågne, selv om det er sen aften
kz-lejr|concentration camp|Memory and Tolerance Museum er den med KZ lejrene og folkemord
folkemord|genocide|Memory and Tolerance Museum er den med KZ lejrene og folkemord
nærhed|proximity, nearness|bevæbnet med en økse fældede han alt i sin nærhed
i nærheden|close to, nearby|Hvis i er i nærheden, så kan i se det også.
eneste|only, sole, single|Hun var den eneste ansøger til jobbet
ansøger|candidate, applicant|Han var en af de mange ansøgere til jobbet
ansøge|to apply|En masse mennesker ansøgte om jobbet
egentlig|actual, real, proper|Er du egentlig katolsk?
seværdighed|sight, attraction|For så er der jo den helt store pilgrims seværdighed. Basilica of Our Lady of Guadalupe.
nok|enough, probably|Han er nok tilbage tidligt i næste uge.||2
burde|should, ought to|Hun burde have været her nu.
sagtens|easily|Han kunne sagtens sælge de stjålne varer.
sælge|to sell|Han kunne sagtens sælge de stjålne varer.
stjålen|stolen|Han kunne sagtens sælge de stjålne varer.
ferie|holiday, vacation|Familien tog på en lang ferie
område|area, territory, district|Det er dette område, vi bor i.
i lige måde|you too|Det var rart at se dig igen, Jan. – I lige måde.
musse / mussi|cutie, sweetheart
lyst|desire, urge, lust|Jeg har lyst...
ønske|to wish, to desire|Hun havde kun et ønske til jul.||2
skør|crazy, mad, nuts
frikadelle|meatball
ingeniør|engineer
udvekslingsstudent|exchange student
kapitel|chapter, section
krop|body
forfatter|author, writer
virksomhed|company, business|Virksomheden gennemgik mange forandringer.
øve (sig)|to practice, to exercise, to train|Hun øvede sig på sin guitar hver dag.
opmuntre|to encourage, to cheer up, to embolden
bundt|bundle, bunch, wad
seddel|note, slip, tag
nytte|use, utility, usefulness
vende|to turn, to veer, to face|Han vendte bilen og tog hjem.
støde ind|to bump into
frygtelig|dreadful, awful, terrific|Jeg har lavet en frygtelig fejltagelse.
fejltagelse|mistake, error|Jeg har lavet en frygtelig fejltagelse.
vældig|enormous, immense, huge|Den vældige folkemængde nægtede at forlade pladsen.
flink|friendly, nice, kind|Den fremmede var meget flink.
skyld|fault, blame, guilt|Det er ikke min skyld, at du lavede kludder i det.
for sjovs skyld|for fun|Drengene sagde, at de havde fældet træet for sjovs skyld.
afslappet|relaxed, casual|Han havde en meget afslappet holdning til livet.
omfavne|to embrace, to hug
forsinke|to delay, to hold up|Flyet var forsinket.
Hyggeligt at møde dig.|Nice to meet you. (informal)
Rart at møde dig.|Nice to meet you. (formal)
Hav det godt.|Be well. / All the best.
beklager|to regret, to apologise, to be sorry
Undskyld, det er jeg virkelig ked af.|Excuse me, I am really sorry.
Hvor meget koster det/den?|How much does it cost?
indtil|until
tie stille|become silent
få fat i|grab, get a hold of
kvarter|quarter (of an hour), neighbourhood
sædvanlig|usual, common, ordinary
afkøle|to cool, to chill
ret|dish, course <br/>right (vs wrong), court, law|Retten var lækker.
lækker|delicious, tasty, good, fine|Retten var lækker.
bygning|building, structure, construction|En ny bygning blev rejst for at huse dem.
forberede|prepare, prime, make plans for
overfylde|overload, overfill, pack|Den var overfyldt med børn.
ængstelig|fearful, anxious, worried, nervous|Jeg er ængstelig for at være med.
sammenligne|to compare, to contrast|Jeg sammenligner den med den anden.
løfte (sb.)|promise, vow|Drengen gav et løfte til sin mor.
løfte (vb.)|to lift, to elevate|De løftede akvariet sammen.||2
forsalg|proposal, suggestion|Vi vil overveje dit forsalg.
lønmodtager|employee, wage earner
lomme|pocket, purse|Han har en lomme med penge.
pleje|care, nursing, to care, to nurse|Moren plejede sit barn.
konkret|specific, concrete
foreslå|to propose, to suggest
hæve|to raise, to lift, to elevate
samtidig|simultaneous, concurrent, contemporary
imod / mod|against, versus, towards
omtanke|thoughtfulness, consideration, thought
nævne|to mention, to name
finde sted|to take place, to happen
rest|rest (of something), remains (of something)
madrest|leftovers
havregryn|oatmeal
skære|to cut, to slice|Hun skar kagen i otte stykker.
himmel|sky, heaven|..., da det første fly skærer sig gennem himlen over vores bygning.
flyve|to fly|Det flyver lavere, end det skal, når jeg lige at tænke.
lav|low, shallow|Det flyver lavere, end det skal, når jeg lige at tænke.
usædvanlig|unusual, unusually, exceptionally|Det er en usædvanlig smuk morgen.
hede|heat|New Yorks klistrende sommerhede er endelig blevet afløst af klar og køligere luft.
lime|to glue|||2
endelig|finally, at last|New Yorks klistrende sommerhede er endelig blevet afløst af klar og køligere luft.
afløse|replace, succeed (someone as)
klar|clear, ready
kølig|cool, chilly
bord|table, bench
altan|balcony
nyde|enjoy, relish, have (spise, drikke)
kort (adj)|short, brief
øjeblik|moment, second, tick
duft|scent
udsigt|view, vista
sal|hall, floor (etage)
sollys|sunlight, sunshine
helikopter|helicopter|Der er altid mange fly og helikoptere over New York.
ignorere|ignore, disregard, pay no attention to
følelse|emotion, feeling, sensation
mens, medens|while
sambo|roommate, flatmate
alvor|seriousness, severity
glemme|to forget, to fail, to neglect|||2
tæppe|blanket, rug, carpet
uge|week
år|year
sekund|second
time|hour
minut|minute
vand|water
kaffe|coffee
øl|beer
is|ice, ice cream
te|tea|||1
oksekød|beef
svinekød|pork
kylling|chicken
køkken|kitchen
badeværelse|bathroom
sofa|sofa
sygeplejerske|nurse
hotel|hotel
kæreste|girlfriend, boyfriend
barn|child
læge|doctor, medic
i dag|today
i morgen|tomorrow
i går|yesterday
hoved|head, main
sne|snow
sky|cloud
skjorte|shirt
sok|sock
bukser|pants
voksen|adult
pige|girl
dreng|boy
valg|choice, election
vælge|to choose, to select
græde|to cry
hård|hard, harsh
miljø|environment
erkende|to acknowledge, to recognize
generel|in general
borgmester|mayor
kvindelig|female
viden|knowledge
stemme|vote, voice|100 år efter kvinderne fik stemmeret, er der stadig ikke kommunal ligestilling.
ligestilling|equality|100 år efter kvinderne fik stemmeret, er der stadig ikke kommunal ligestilling.
præsident|president
cementere|to cement
vigtig|important
kæmpe|to fight, to struggle
overlevelse|survival
trække|to pull, to drag
krise|crisis
branche|industry
fylde|to fill|||2
facon|shape
tilføje|to add
fræk|naughty, bold
irritere|to irritate, to annoy
hamrende|extremely, very
sgu|damn<br/>bruges som forstærkende bandeord for at understrege en personlig holdning, forsikring m.m.
blinde|blind
farlig|dangerous
fleksibel|flexible
forebygge|to prevent (something from happening, preventive measures)
skade|damage, injury
indeholde|to contain, to include
styrke|strength
ryste|to shake
anvende|to apply
både|both|||2
våd|wet, damp, watery
tør|dry
holde af|kunne lide, føle kærlighed til, elske
banegård|railway station (big)
forandre|to change, to alter
dvs. (det vil sige)|i.e., that is, introduces a more detailed explanation or an exemplification
osv. (og så videre)|etc., and so on
meningsfuld|meaningful
sætning|sentence
tidlig|early
udbryde|to exclaim, to burst out
sukke|sigh, groan
tusindvis|thousands
nok en gang|again
indstille|to adjust
indtage|to intake (e.g. food)<br/>to take or occupy
pulterrum|storage room
gårsdag|yesterday
opfordre|to encourage
gælde|to be true, to be valid, to be applicable
offentlig|public, official
udstrække|to extend, udvide til også at omfatte eller gælde
omfatte|to include
grad|degree
gensyn|reunion, det at ses igen eller at se noget igen efter en tid
lige nu|right now
vurdere|to assesss, to consider, to evaluate
nødvendig|required, necessary
